Found 200 images and 200 masks.

===== Training with 1 positive/negative clicks =====
[Epoch 35] Train=2.6062 | Val=0.2151 | Dice=0.5019 | IoU=0.4676 | Acc=0.9362 | Sens=0.9604 | Spec=0.9275
[Epoch 36] Train=2.5234 | Val=0.1788 | Dice=0.5021 | IoU=0.4724 | Acc=0.9522 | Sens=0.9402 | Spec=0.9613
[Epoch 37] Train=2.5733 | Val=0.1971 | Dice=0.5055 | IoU=0.4729 | Acc=0.9407 | Sens=0.9479 | Spec=0.9400
[Epoch 38] Train=2.5426 | Val=0.1740 | Dice=0.4971 | IoU=0.4656 | Acc=0.9496 | Sens=0.9150 | Spec=0.9688
[Epoch 39] Train=2.5451 | Val=0.1664 | Dice=0.5017 | IoU=0.4716 | Acc=0.9528 | Sens=0.9236 | Spec=0.9695
[Epoch 40] Train=2.3859 | Val=0.1649 | Dice=0.5070 | IoU=0.4782 | Acc=0.9560 | Sens=0.9374 | Spec=0.9673
[Epoch 41] Train=2.5430 | Val=0.1714 | Dice=0.5061 | IoU=0.4769 | Acc=0.9540 | Sens=0.9412 | Spec=0.9627
[Epoch 42] Train=2.2848 | Val=0.1791 | Dice=0.5089 | IoU=0.4785 | Acc=0.9518 | Sens=0.9529 | Spec=0.9543
[Epoch 43] Train=2.3541 | Val=0.1691 | Dice=0.5066 | IoU=0.4777 | Acc=0.9550 | Sens=0.9435 | Spec=0.9636
[Epoch 44] Train=2.2115 | Val=0.1675 | Dice=0.5054 | IoU=0.4766 | Acc=0.9548 | Sens=0.9422 | Spec=0.9642
[Epoch 45] Train=2.3127 | Val=0.1651 | Dice=0.5053 | IoU=0.4770 | Acc=0.9554 | Sens=0.9370 | Spec=0.9675
